Блок;Инициатива;Действие;Приоритет;Ответственный_контур
Федеральный якорь;YouTube -10% по промокоду;"Оставить единым; завести дашборд конверсии по городам";Высокий;Маркетинг+CRM
Федеральный якорь;Масло+диагностика 40 пунктов;"Свести к 2 тарифам max; объяснить логику 6500/7900";Высокий;Сервис+Финансы
Федеральный якорь;Купон -10% на ТО;Сделать видимым на всех витринах, включая НН (или заменить эквивалентом);Средний;Маркетинг
Выравнивание цен;Сплит 6500 vs 7900;Либо сблизить, либо зафиксировать критерии (логистика/БК);Высокий;Финансы+COO
Локальные пакеты;Сезонный пакет «к жаре»;Шаблон Jetour/Geely с локальной ценой (10–15 тыс.);Средний;Бренд-директора
Локальные пакеты;Первый визит -20/-25%;Шаблон acquisition для слабых витрин (как HAVAL Волгоград);Высокий;Коммерция
Удобство;Вечерний заезд / такси;Пилот в 3–5 городах по модели Минвод;Средний;Операции
Низкий порог;Вход 900₽ (диагностика/развал);Раскатать на бедную группу витрин;Высокий;Сервис
Бренд-ниши;Toyota/Lexus масло;Единый прайс-коридор по городам присутствия бренда;Средний;Toyota DЦ
Гувернанс;Единый словарь акций;"Запрет дублей «Спецпредложение» без оферты; чек-лист витрины";Высокий;Маркетинг
